link_articol,platforma,data,cuvinte_cheie
https://www.digi24.ro/stiri/actualitate/politica/ciolacu-isi-ironizeaza-partenerii-de-coalitie-intr-o-camera-cu-multi-copii-trebuie-sa-fie-si-o-persoana-matura-altfel-se-incaiera-2699257, digi24, 24.02.2024 08:07 ,nothing
https://www.digi24.ro/magazin/cum-arata-cea-mai-scumpa-proprietate-din-sua-scoasa-la-vanzare-cu-295-de-milioane-de-dolari-2698663, digi24, 24.02.2024 08:00 ,nothing
https://www.digi24.ro/stiri/externe/razboiul-din-ucraina-este-cel-mai-costisitor-din-istoria-omenirii-cat-au-costat-cei-2-ani-de-lupte-pe-fronturile-ucrainene-2698107, digi24, 24.02.2024 08:00 ,război ucraina 
https://www.digi24.ro/stiri/externe/un-judecator-anunta-oficial-ca-trump-datoreaza-454-de-milioane-de-dolari-intr-un-caz-de-frauda-2699253, digi24, 24.02.2024 07:38 ,nothing
https://www.digi24.ro/stiri/externe/ucraina-anunta-ca-doua-localitati-din-raionul-kupiansk-vor-fi-evacuate-fortat-din-cauza-ofensivei-armatei-ruse-2699249, digi24, 24.02.2024 07:30 ,ucraina 
https://www.digi24.ro/stiri/actualitate/la-fiecare-soldat-va-trebui-sa-avem-o-drona-si-alte-lectii-pe-care-armata-romana-le-are-de-invatat-dupa-2-ani-de-razboi-in-ucraina-2697341, digi24, 24.02.2024 07:00 ,război ucraina 
https://www.digi24.ro/stiri/externe/ue/sediul-serviciului-de-informatii-din-suedia-a-fost-evacuat-din-cauza-unei-substante-periculoase-8-persoane-au-fost-duse-la-spital-2699161, digi24, 24.02.2024 00:28 ,nothing
https://www.digi24.ro/stiri/externe/sua/armata-americana-urmareste-un-balon-de-mare-altitudine-care-zboara-deasupra-vestului-statelor-unite-cbs-news-2699149, digi24, 23.02.2024 23:55 ,nothing
https://www.digi24.ro/stiri/externe/lovitura-grea-pentru-rusi-fortele-ucrainene-au-mai-doborat-un-avion-spion-rusesc-a-50-2699117, digi24, 23.02.2024 23:48 ,rusesc 
https://www.digi24.ro/stiri/externe/ue/bloomberg-ungaria-a-impiedicat-adoptarea-unei-declaratii-comune-a-statelor-ue-pentru-a-marca-doi-ani-de-la-invazia-rusa-in-ucraina-2699113, digi24, 23.02.2024 23:19 ,ucraina 
https://www.digi24.ro/stiri/externe/ue/administratorul-cladirii-care-a-ars-in-valencia-este-romanca-adriana-banu-nu-mi-vine-sa-cred-au-murit-oameni-de-unii-nu-stim-2699073, digi24, 23.02.2024 22:47 ,nothing
https://www.digi24.ro/stiri/a-murit-creatorul-de-moda-francez-claude-montana-avea-76-de-ani-2699075, digi24, 23.02.2024 22:44 ,murit 
https://www.digi24.ro/stiri/externe/ursula-von-der-leyen-merge-sambata-la-kiev-cand-se-implinesc-doi-ani-de-la-declansarea-razboiului-in-ucraina-2699057, digi24, 23.02.2024 22:24 ,război ucraina 
https://www.digi24.ro/stiri/externe/ue/germania-a-legalizat-cultivarea-si-posesia-canabisului-pentru-uz-personal-2699059, digi24, 23.02.2024 22:17 ,nothing
https://www.digi24.ro/stiri/externe/moscova-acuza-ca-prin-noile-sanctiuni-sua-vrea-sa-influenteze-alegerile-prezidentiale-din-rusia-2699035, digi24, 23.02.2024 21:57 ,rusia 
https://www.digi24.ro/stiri/actualitate/politica/ciolacu-spune-ca-nu-exista-o-legatura-intre-propunerea-lui-iohannis-la-sefia-nato-si-devansarea-alegerilor-prezidentiale-2699007, digi24, 23.02.2024 21:29 ,nothing
https://www.digi24.ro/stiri/externe/steaua-lui-david-de-pe-zidurile-din-paris-ar-fi-aparut-la-comanda-fsb-franta-acuza-spionii-rusi-pentru-campania-antisemita-2699003, digi24, 23.02.2024 21:21 ,nothing
https://www.digi24.ro/stiri/externe/ue/fostul-cancelar-austriac-sebastian-kurz-a-fost-condamnat-la-opt-luni-de-inchisoare-cu-suspendare-pentru-marturie-falsa-2699009, digi24, 23.02.2024 21:18 ,nothing
https://www.digi24.ro/stiri/actualitate/romanul-corespondent-de-razboi-in-ucraina-decorat-de-zelenski-m-am-dus-pentru-ca-e-un-razboi-injust-am-simtit-ca-trebuia-sa-fac-ceva-2698975, digi24, 23.02.2024 20:55 ,război ucraina 
https://www.digi24.ro/stiri/actualitate/politica/grindeanu-spune-ca-psd-va-castiga-toate-alegerile-din-acest-an-vom-da-viitorul-presedinte-al-romaniei-pe-marcel-ciolacu-2698987, digi24, 23.02.2024 20:54 ,nothing
https://www.digi24.ro/stiri/externe/rusii-i-au-dat-mamei-lui-navalnii-un-ultimatum-de-3-ore-inmormantare-secreta-sau-fiul-ei-va-fi-ingropat-in-curtea-inchisorii-2698947, digi24, 23.02.2024 20:38 ,nothing
https://www.digi24.ro/stiri/actualitate/politica/ciolacu-spune-ca-firea-e-candidatul-psd-la-primaria-capitalei-vom-vedea-daca-mergem-separat-de-pnl-in-aceasta-confruntare-politica-2698955, digi24, 23.02.2024 20:35 ,nothing
https://www.digi24.ro/stiri/actualitate/politica/turcan-despre-devansarea-alegerilor-prezidentiale-se-tine-cont-de-evenimentele-religioase-din-decembrie-2698927, digi24, 23.02.2024 20:18 ,nothing
https://www.digi24.ro/stiri/externe/echipa-lui-aleksei-navalnii-ofera-recompensa-pentru-informatii-despre-moartea-liderului-opozitiei-ruse-2698939, digi24, 23.02.2024 19:58 ,nothing
https://www.digi24.ro/stiri/actualitate/evenimente/marturia-unui-roman-care-lupta-in-ucraina-simtim-efectiv-ca-exista-un-colaps-de-suport-si-de-sprijin-se-moare-pe-capete-2698903, digi24, 23.02.2024 19:21 ,ucraina 
https://www.digi24.ro/stiri/actualitate/politica/turcan-e-un-lucru-pozitiv-ca-se-vorbeste-despre-un-presedinte-al-romaniei-ca-posibil-candidat-la-sefia-nato-2698885, digi24, 23.02.2024 19:11 ,nothing
https://www.digi24.ro/stiri/economie/ministerul-finantelor-125-miliarde-de-lei-pentru-antreprenori-cine-poate-beneficia-de-noua-schema-imm-plus-2698887, digi24, 23.02.2024 19:09 ,nothing
https://www.digi24.ro/stiri/actualitate/evenimente/un-barbat-aflat-in-pericol-s-a-salvat-dupa-ce-a-comandat-o-pizza-la-112-2698865, digi24, 23.02.2024 18:43 ,nothing
https://www.digi24.ro/stiri/externe/premierul-ucrainei-merge-la-granita-blocata-de-fermierii-polonezi-suntem-gata-sa-negociem-2698859, digi24, 23.02.2024 18:35 ,ucrainei 
